ISOCode,Year,EnergyTypeID,ElectricityGenerationTWH,ElectricityGenerationPerPerson,ShareOfElectricityGenerated
AFG,2000,1,0.0,0.0,0.0
AFG,2000,2,0.16,8.18708052085797e-09,34.042553
AFG,2000,3,0.0,0.0,0.0
AFG,2000,4,0.0,0.0,0.0
AFG,2000,5,0.31,1.5862468509162315e-08,65.95744
AFG,2000,6,0.0,0.0,0.0
AFG,2000,7,0.0,0.0,0.0
AFG,2001,1,0.0,0.0,0.0
AFG,2001,2,0.09,4.571165272308886e-09,15.254238
AFG,2001,3,0.0,0.0,0.0
AFG,2001,4,0.0,0.0,0.0
AFG,2001,5,0.5,2.539536262393826e-08,84.745766
AFG,2001,6,0.0,0.0,0.0
AFG,2001,7,0.0,0.0,0.0
AFG,2002,1,0.0,0.0,0.0
AFG,2002,2,0.13,6.1904001369887936e-09,18.84058
AFG,2002,3,0.0,0.0,0.0
AFG,2002,4,0.0,0.0,0.0
AFG,2002,5,0.56,2.6666339051644033e-08,81.159424
AFG,2002,6,0.0,0.0,0.0
AFG,2002,7,0.0,0.0,0.0
AFG,2003,1,0.0,0.0,0.0
AFG,2003,2,0.31,1.3689473977988032e-08,32.97872
AFG,2003,3,0.0,0.0,0.0
AFG,2003,4,0.0,0.0,0.0
AFG,2003,5,0.63,2.7820543890749874e-08,67.02128
AFG,2003,6,0.0,0.0,0.0
AFG,2003,7,0.0,0.0,0.0
AFG,2004,1,0.0,0.0,0.0
AFG,2004,2,0.33,1.4010624468816894e-08,37.07865
AFG,2004,3,0.0,0.0,0.0
AFG,2004,4,0.0,0.0,0.0
AFG,2004,5,0.56,2.3775605159204425e-08,62.92135
AFG,2004,6,0.0,0.0,0.0
AFG,2004,7,0.0,0.0,0.0
AFG,2005,1,0.0,0.0,0.0
AFG,2005,2,0.34,1.3928035316254068e-08,36.55914
AFG,2005,3,0.0,0.0,0.0
AFG,2005,4,0.0,0.0,0.0
AFG,2005,5,0.59,2.4169237754676173e-08,63.440857
AFG,2005,6,0.0,0.0,0.0
AFG,2005,7,0.0,0.0,0.0
AFG,2006,1,0.0,0.0,0.0
AFG,2006,2,0.2,7.86072493334695e-09,23.809525
AFG,2006,3,0.0,0.0,0.0
AFG,2006,4,0.0,0.0,0.0
AFG,2006,5,0.64,2.5154319786710236e-08,76.190475
AFG,2006,6,0.0,0.0,0.0
