ISOCode,Year,GDP
ABW,1986,"405,586,592.20"
ABW,1987,"487,709,497.20"
ABW,1988,"596,648,044.70"
ABW,1989,"695,530,726.30"
ABW,1990,"764,804,469.30"
ABW,1991,"872,067,039.10"
ABW,1992,"958,659,217.90"
ABW,1993,"1,083,240,223.00"
ABW,1994,"1,245,810,056.00"
ABW,1995,"1,320,670,391.00"
ABW,1996,"1,379,888,268.00"
ABW,1997,"1,531,843,575.00"
ABW,1998,"1,665,363,128.00"
ABW,1999,"1,722,905,028.00"
ABW,2000,"1,873,452,514.00"
ABW,2001,"1,896,456,983.00"
ABW,2002,"1,961,843,575.00"
ABW,2003,"2,044,111,732.00"
ABW,2004,"2,254,830,726.00"
ABW,2005,"2,360,017,318.00"
ABW,2006,"2,469,782,682.00"
ABW,2007,"2,677,641,341.00"
ABW,2008,"2,843,024,581.00"
ABW,2009,"2,553,793,296.00"
ABW,2010,"2,453,597,207.00"
ABW,2011,"2,637,859,218.00"
ABW,2012,"2,615,208,380.00"
ABW,2013,"2,727,849,721.00"
ABW,2014,"2,790,849,721.00"
ABW,2015,"2,962,907,263.00"
ABW,2016,"2,983,635,196.00"
ABW,2017,"3,092,429,050.00"
ABW,2018,"3,276,184,358.00"
ABW,2019,"3,395,798,883.00"
ABW,2020,"2,558,906,304.00"
ABW,2021,"3,103,184,102.00"
ABW,2022,"3,544,707,788.00"
AFG,1960,"537,777,811.10"
AFG,1961,"548,888,895.60"
AFG,1962,"546,666,677.80"
AFG,1963,"751,111,191.10"
AFG,1964,"800,000,044.40"
AFG,1965,"1,006,666,638.00"
AFG,1966,"1,399,999,967.00"
AFG,1967,"1,673,333,418.00"
AFG,1968,"1,373,333,367.00"
AFG,1969,"1,408,888,922.00"
AFG,1970,"1,748,886,596.00"
AFG,1971,"1,831,108,971.00"
AFG,1972,"1,595,555,476.00"
AFG,1973,"1,733,333,264.00"
AFG,1974,"2,155,555,498.00"
AFG,1975,"2,366,666,616.00"
AFG,1976,"2,555,555,567.00"
AFG,1977,"2,953,333,418.00"
AFG,1978,"3,300,000,109.00"
AFG,1979,"3,697,940,410.00"
AFG,1980,"3,641,723,322.00"
AFG,1981,"3,478,787,909.00"
AFG,2002,"3,825,701,406.00"
AFG,2003,"4,520,946,849.00"
AFG,2004,"5,224,896,719.00"
AFG,2005,"6,203,256,497.00"
AFG,2006,"6,971,758,333.00"
AFG,2007,"9,747,886,105.00"
AFG,2008,"10,109,296,958.00"
AFG,2009,"12,416,152,648.00"
AFG,2010,"15,856,668,496.00"
AFG,2011,"17,805,098,367.00"
AFG,2012,"19,907,329,906.00"
