ISOCode,Year,EnergyTypeID
DZA,1965,1
DZA,1965,2
DZA,1965,3
DZA,1965,4
DZA,1965,5
DZA,1965,6
DZA,1965,7
DZA,1966,1
DZA,1966,2
DZA,1966,3
DZA,1966,4
DZA,1966,5
DZA,1966,6
DZA,1966,7
DZA,1967,1
DZA,1967,2
DZA,1967,3
DZA,1967,4
DZA,1967,5
DZA,1967,6
DZA,1967,7
DZA,1968,1
DZA,1968,2
DZA,1968,3
DZA,1968,4
DZA,1968,5
DZA,1968,6
DZA,1968,7
DZA,1969,1
DZA,1969,2
DZA,1969,3
DZA,1969,4
DZA,1969,5
DZA,1969,6
DZA,1969,7
DZA,1970,1
DZA,1970,2
DZA,1970,3
DZA,1970,4
DZA,1970,5
DZA,1970,6
DZA,1970,7
DZA,1971,1
DZA,1971,2
DZA,1971,3
DZA,1971,4
DZA,1971,5
DZA,1971,6
DZA,1971,7
DZA,1972,1
DZA,1972,2
DZA,1972,3
DZA,1972,4
DZA,1972,5
DZA,1972,6
DZA,1972,7
DZA,1973,1
DZA,1973,2
DZA,1973,3
DZA,1973,4
DZA,1973,5
DZA,1973,6
DZA,1973,7
DZA,1974,1
DZA,1974,2
DZA,1974,3
DZA,1974,4
DZA,1974,5
DZA,1974,6
DZA,1974,7
DZA,1975,1
DZA,1975,2
DZA,1975,3
DZA,1975,4
DZA,1975,5
DZA,1975,6
DZA,1975,7
DZA,1976,1
DZA,1976,2
DZA,1976,3
DZA,1976,4
DZA,1976,5
DZA,1976,6
DZA,1976,7
DZA,1977,1
DZA,1977,2
DZA,1977,3
DZA,1977,4
DZA,1977,5
DZA,1977,6
DZA,1977,7
DZA,1978,1
DZA,1978,2
DZA,1978,3
DZA,1978,4
DZA,1978,5
DZA,1978,6
DZA,1978,7
DZA,1979,1
DZA,1979,2
DZA,1979,3
DZA,1979,4
DZA,1979,5
DZA,1979,6
DZA,1979,7
DZA,1980,1
DZA,1980,2
DZA,1980,3
DZA,1980,4
DZA,1980,5
DZA,1980,6
DZA,1980,7
DZA,1981,1
DZA,1981,2
DZA,1981,3
DZA,1981,4
DZA,1981,5
DZA,1981,6
DZA,1981,7
DZA,1982,1
DZA,1982,2
DZA,1982,3
DZA,1982,4
DZA,1982,5
DZA,1982,6
DZA,1982,7
DZA,1983,1
DZA,1983,2
DZA,1983,3
DZA,1983,4
DZA,1983,5
DZA,1983,6
DZA,1983,7
DZA,1984,1
DZA,1984,2
DZA,1984,3
DZA,1984,4
DZA,1984,5
DZA,1984,6
DZA,1984,7
DZA,1985,1
DZA,1985,2
DZA,1985,3
DZA,1985,4
DZA,1985,5
DZA,1985,6
DZA,1985,7
DZA,1986,1
DZA,1986,2
DZA,1986,3
DZA,1986,4
DZA,1986,5
DZA,1986,6
DZA,1986,7
DZA,1987,1
DZA,1987,2
DZA,1987,3
DZA,1987,4
DZA,1987,5
DZA,1987,6
DZA,1987,7
DZA,1988,1
DZA,1988,2
DZA,1988,3
DZA,1988,4
DZA,1988,5
DZA,1988,6
DZA,1988,7
DZA,1989,1
DZA,1989,2
DZA,1989,3
DZA,1989,4
DZA,1989,5
DZA,1989,6
DZA,1989,7
DZA,1990,1
DZA,1990,2
DZA,1990,3
DZA,1990,4
DZA,1990,5
DZA,1990,6
DZA,1990,7
DZA,1991,1
DZA,1991,2
DZA,1991,3
DZA,1991,4
DZA,1991,5
DZA,1991,6
DZA,1991,7
DZA,1992,1
DZA,1992,2
DZA,1992,3
DZA,1992,4
DZA,1992,5
DZA,1992,6
DZA,1992,7
DZA,1993,1
DZA,1993,2
DZA,1993,3
DZA,1993,4
DZA,1993,5
DZA,1993,6
DZA,1993,7
DZA,1994,1
DZA,1994,2
DZA,1994,3
DZA,1994,4
DZA,1994,5
DZA,1994,6
DZA,1994,7
DZA,1995,1
DZA,1995,2
DZA,1995,3
DZA,1995,4
DZA,1995,5
DZA,1995,6
DZA,1995,7
DZA,1996,1
DZA,1996,2
DZA,1996,3
DZA,1996,4
DZA,1996,5
DZA,1996,6
DZA,1996,7
DZA,1997,1
DZA,1997,2
DZA,1997,3
DZA,1997,4
DZA,1997,5
DZA,1997,6
DZA,1997,7
DZA,1998,1
DZA,1998,2
DZA,1998,3
DZA,1998,4
DZA,1998,5
DZA,1998,6
DZA,1998,7
DZA,1999,1
DZA,1999,2
DZA,1999,3
DZA,1999,4
DZA,1999,5
DZA,1999,6
DZA,1999,7
DZA,2000,1
DZA,2000,2
DZA,2000,3
DZA,2000,4
DZA,2000,5
DZA,2000,6
DZA,2000,7
DZA,2001,1
DZA,2001,2
DZA,2001,3
DZA,2001,4
DZA,2001,5
DZA,2001,6
DZA,2001,7
DZA,2002,1
DZA,2002,2
DZA,2002,3
DZA,2002,4
DZA,2002,5
DZA,2002,6
DZA,2002,7
DZA,2003,1
DZA,2003,2
DZA,2003,3
DZA,2003,4
DZA,2003,5
DZA,2003,6
DZA,2003,7
DZA,2004,1
DZA,2004,2
DZA,2004,3
DZA,2004,4
DZA,2004,5
DZA,2004,6
DZA,2004,7
DZA,2005,1
DZA,2005,2
DZA,2005,3
DZA,2005,4
DZA,2005,5
DZA,2005,6
DZA,2005,7
DZA,2006,1
DZA,2006,2
DZA,2006,3
DZA,2006,4
DZA,2006,5
DZA,2006,6
DZA,2006,7
DZA,2007,1
DZA,2007,2
DZA,2007,3
DZA,2007,4
DZA,2007,5
DZA,2007,6
DZA,2007,7
DZA,2008,1
DZA,2008,2
DZA,2008,3
DZA,2008,4
DZA,2008,5
DZA,2008,6
DZA,2008,7
DZA,2009,1
DZA,2009,2
DZA,2009,3
DZA,2009,4
DZA,2009,5
DZA,2009,6
DZA,2009,7
DZA,2010,1
DZA,2010,2
DZA,2010,3
DZA,2010,4
DZA,2010,5
DZA,2010,6
DZA,2010,7
DZA,2011,1
DZA,2011,2
DZA,2011,3
DZA,2011,4
DZA,2011,5
DZA,2011,6
DZA,2011,7
DZA,2012,1
DZA,2012,2
DZA,2012,3
DZA,2012,4
DZA,2012,5
DZA,2012,6
DZA,2012,7
DZA,2013,1
DZA,2013,2
DZA,2013,3
DZA,2013,4
DZA,2013,5
DZA,2013,6
DZA,2013,7
DZA,2014,1
DZA,2014,2
DZA,2014,3
DZA,2014,4
DZA,2014,5
DZA,2014,6
DZA,2014,7
DZA,2015,1
DZA,2015,2
DZA,2015,3
DZA,2015,4
DZA,2015,5
DZA,2015,6
DZA,2015,7
DZA,2016,1
DZA,2016,2
DZA,2016,3
DZA,2016,4
DZA,2016,5
DZA,2016,6
DZA,2016,7
DZA,2017,1
DZA,2017,2
DZA,2017,3
DZA,2017,4
DZA,2017,5
DZA,2017,6
DZA,2017,7
DZA,2018,1
DZA,2018,2
DZA,2018,3
DZA,2018,4
DZA,2018,5
DZA,2018,6
DZA,2018,7
DZA,2019,1
DZA,2019,2
DZA,2019,3
DZA,2019,4
DZA,2019,5
DZA,2019,6
DZA,2019,7
DZA,2020,1
DZA,2020,2
DZA,2020,3
DZA,2020,4
DZA,2020,5
DZA,2020,6
DZA,2020,7
DZA,2021,1
DZA,2021,2
DZA,2021,3
DZA,2021,4
DZA,2021,5
DZA,2021,6
DZA,2021,7
ARG,1965,1
ARG,1965,2
ARG,1965,3
ARG,1965,4
ARG,1965,5
ARG,1965,6
ARG,1965,7
ARG,1966,1
ARG,1966,2
ARG,1966,3
ARG,1966,4
ARG,1966,5
ARG,1966,6
ARG,1966,7
ARG,1967,1
ARG,1967,2
ARG,1967,3
ARG,1967,4
ARG,1967,5
ARG,1967,6
ARG,1967,7
ARG,1968,1
ARG,1968,2
ARG,1968,3
ARG,1968,4
ARG,1968,5
ARG,1968,6
ARG,1968,7
ARG,1969,1
ARG,1969,2
ARG,1969,3
ARG,1969,4
ARG,1969,5
ARG,1969,6
ARG,1969,7
ARG,1970,1
ARG,1970,2
ARG,1970,3
ARG,1970,4
ARG,1970,5
ARG,1970,6
ARG,1970,7
ARG,1971,1
ARG,1971,2
ARG,1971,3
ARG,1971,4
ARG,1971,5
ARG,1971,6
ARG,1971,7
ARG,1972,1
ARG,1972,2
ARG,1972,3
ARG,1972,4
ARG,1972,5
ARG,1972,6
ARG,1972,7
ARG,1973,1
ARG,1973,2
ARG,1973,3
ARG,1973,4
ARG,1973,5
ARG,1973,6
ARG,1973,7
ARG,1974,1
ARG,1974,2
ARG,1974,3
ARG,1974,4
ARG,1974,5
ARG,1974,6
ARG,1974,7
ARG,1975,1
ARG,1975,2
ARG,1975,3
ARG,1975,4
ARG,1975,5
ARG,1975,6
ARG,1975,7
ARG,1976,1
ARG,1976,2
ARG,1976,3
ARG,1976,4
ARG,1976,5
ARG,1976,6
ARG,1976,7
ARG,1977,1
ARG,1977,2
ARG,1977,3
ARG,1977,4
ARG,1977,5
ARG,1977,6
ARG,1977,7
ARG,1978,1
ARG,1978,2
ARG,1978,3
ARG,1978,4
ARG,1978,5
ARG,1978,6
ARG,1978,7
ARG,1979,1
ARG,1979,2
ARG,1979,3
ARG,1979,4
ARG,1979,5
ARG,1979,6
ARG,1979,7
ARG,1980,1
ARG,1980,2
ARG,1980,3
ARG,1980,4
ARG,1980,5
ARG,1980,6
ARG,1980,7
ARG,1981,1
ARG,1981,2
ARG,1981,3
ARG,1981,4
ARG,1981,5
ARG,1981,6
ARG,1981,7
ARG,1982,1
ARG,1982,2
ARG,1982,3
ARG,1982,4
ARG,1982,5
ARG,1982,6
ARG,1982,7
ARG,1983,1
ARG,1983,2
ARG,1983,3
ARG,1983,4
ARG,1983,5
ARG,1983,6
ARG,1983,7
ARG,1984,1
ARG,1984,2
ARG,1984,3
ARG,1984,4
ARG,1984,5
ARG,1984,6
ARG,1984,7
ARG,1985,1
ARG,1985,2
ARG,1985,3
ARG,1985,4
ARG,1985,5
ARG,1985,6
ARG,1985,7
ARG,1986,1
ARG,1986,2
ARG,1986,3
ARG,1986,4
ARG,1986,5
ARG,1986,6
ARG,1986,7
ARG,1987,1
ARG,1987,2
ARG,1987,3
ARG,1987,4
ARG,1987,5
ARG,1987,6
ARG,1987,7
ARG,1988,1
ARG,1988,2
ARG,1988,3
ARG,1988,4
ARG,1988,5
ARG,1988,6
ARG,1988,7
ARG,1989,1
ARG,1989,2
ARG,1989,3
ARG,1989,4
ARG,1989,5
ARG,1989,6
ARG,1989,7
ARG,1990,1
ARG,1990,2
ARG,1990,3
ARG,1990,4
ARG,1990,5
ARG,1990,6
ARG,1990,7
ARG,1991,1
ARG,1991,2
ARG,1991,3
ARG,1991,4
ARG,1991,5
ARG,1991,6
ARG,1991,7
ARG,1992,1
ARG,1992,2
ARG,1992,3
ARG,1992,4
ARG,1992,5
ARG,1992,6
ARG,1992,7
ARG,1993,1
ARG,1993,2
ARG,1993,3
ARG,1993,4
ARG,1993,5
ARG,1993,6
ARG,1993,7
ARG,1994,1
ARG,1994,2
ARG,1994,3
ARG,1994,4
ARG,1994,5
ARG,1994,6
ARG,1994,7
ARG,1995,1
ARG,1995,2
ARG,1995,3
ARG,1995,4
ARG,1995,5
ARG,1995,6
ARG,1995,7
ARG,1996,1
ARG,1996,2
ARG,1996,3
ARG,1996,4
ARG,1996,5
ARG,1996,6
ARG,1996,7
ARG,1997,1
ARG,1997,2
ARG,1997,3
ARG,1997,4
ARG,1997,5
ARG,1997,6
ARG,1997,7
ARG,1998,1
ARG,1998,2
ARG,1998,3
ARG,1998,4
ARG,1998,5
ARG,1998,6
ARG,1998,7
ARG,1999,1
ARG,1999,2
ARG,1999,3
ARG,1999,4
ARG,1999,5
ARG,1999,6
ARG,1999,7
ARG,2000,1
ARG,2000,2
ARG,2000,3
ARG,2000,4
ARG,2000,5
ARG,2000,6
ARG,2000,7
ARG,2001,1
ARG,2001,2
ARG,2001,3
ARG,2001,4
ARG,2001,5
ARG,2001,6
ARG,2001,7
ARG,2002,1
ARG,2002,2
ARG,2002,3
ARG,2002,4
ARG,2002,5
ARG,2002,6
ARG,2002,7
ARG,2003,1
ARG,2003,2
ARG,2003,3
ARG,2003,4
ARG,2003,5
ARG,2003,6
ARG,2003,7
ARG,2004,1
ARG,2004,2
ARG,2004,3
ARG,2004,4
ARG,2004,5
ARG,2004,6
ARG,2004,7
ARG,2005,1
ARG,2005,2
ARG,2005,3
ARG,2005,4
ARG,2005,5
ARG,2005,6
ARG,2005,7
ARG,2006,1
ARG,2006,2
ARG,2006,3
ARG,2006,4
ARG,2006,5
ARG,2006,6
ARG,2006,7
ARG,2007,1
ARG,2007,2
ARG,2007,3
ARG,2007,4
ARG,2007,5
ARG,2007,6
ARG,2007,7
ARG,2008,1
ARG,2008,2
ARG,2008,3
ARG,2008,4
ARG,2008,5
ARG,2008,6
ARG,2008,7
ARG,2009,1
ARG,2009,2
ARG,2009,3
ARG,2009,4
ARG,2009,5
ARG,2009,6
ARG,2009,7
ARG,2010,1
ARG,2010,2
ARG,2010,3
ARG,2010,4
ARG,2010,5
ARG,2010,6
ARG,2010,7
ARG,2011,1
ARG,2011,2
ARG,2011,3
ARG,2011,4
ARG,2011,5
ARG,2011,6
ARG,2011,7
ARG,2012,1
ARG,2012,2
ARG,2012,3
ARG,2012,4
ARG,2012,5
ARG,2012,6
ARG,2012,7
ARG,2013,1
ARG,2013,2
ARG,2013,3
ARG,2013,4
ARG,2013,5
ARG,2013,6
