ISOCode,Year,AnnualGasemissions
AFG,1850,7338819.0
AFG,1851,7403982.5
AFG,1852,7464157.0
AFG,1853,7522431.5
AFG,1854,7579209.5
AFG,1855,7634722.0
AFG,1856,7689125.0
AFG,1857,7742261.0
AFG,1858,7794177.0
AFG,1859,7844884.5
AFG,1860,7910456.0
AFG,1861,7969944.5
AFG,1862,8022874.5
AFG,1863,8074210.0
AFG,1864,8124727.0
AFG,1865,8174697.0
AFG,1866,8224260.0
AFG,1867,8273471.5
AFG,1868,8322382.5
AFG,1869,8371061.0
AFG,1870,8557006.0
AFG,1871,8729510.0
AFG,1872,8859274.0
AFG,1873,8971156.0
AFG,1874,9076112.0
AFG,1875,9177052.0
AFG,1876,9274492.0
AFG,1877,9368104.0
AFG,1878,9456962.0
AFG,1879,9539972.0
AFG,1880,9746925.0
AFG,1881,9934697.0
AFG,1882,10069240.0
AFG,1883,10184774.0
AFG,1884,10289753.0
AFG,1885,10388137.0
AFG,1886,10482027.0
AFG,1887,10572633.0
AFG,1888,10660788.0
AFG,1889,10747055.0
AFG,1890,10889059.0
AFG,1891,11005621.0
AFG,1892,11101585.0
AFG,1893,11193254.0
AFG,1894,11282141.0
AFG,1895,11369049.0
AFG,1896,11454303.0
AFG,1897,11538169.0
AFG,1898,11620730.0
AFG,1899,11702083.0
AFG,1900,11820230.0
AFG,1901,11947237.0
AFG,1902,12037828.0
AFG,1903,12070521.0
AFG,1904,12175798.0
AFG,1905,12234340.0
AFG,1906,12348533.0
AFG,1907,12392352.0
AFG,1908,12497791.0
AFG,1909,12595348.0
AFG,1910,12719322.0
AFG,1911,12818791.0
AFG,1912,12915899.0
AFG,1913,12953141.0
AFG,1914,13056591.0
AFG,1915,13107028.0
AFG,1916,13053928.0
AFG,1917,13102581.0
AFG,1918,13123456.0
AFG,1919,13166123.0
AFG,1920,13100156.0
AFG,1921,13233681.0
AFG,1922,13381263.0
AFG,1923,13441782.0
AFG,1924,13602521.0
AFG,1925,13739506.0
AFG,1926,13882266.0
AFG,1927,13999729.0
AFG,1928,14105995.0
AFG,1929,14220701.0
AFG,1930,14291437.0
AFG,1931,14439305.0
AFG,1932,14549913.0
AFG,1933,14684276.0
AFG,1934,14771012.0
AFG,1935,14891070.0
AFG,1936,15093001.0
AFG,1937,15205863.0
AFG,1938,15422973.0
AFG,1939,15603891.0
AFG,1940,15817386.0
AFG,1941,16077510.0
AFG,1942,16250539.0
AFG,1943,16455242.0
AFG,1944,16770184.0
AFG,1945,17001516.0
AFG,1946,17308568.0
AFG,1947,17589708.0
AFG,1948,17848184.0
AFG,1949,18065592.0
AFG,1950,18975016.0
AFG,1951,19921294.0
AFG,1952,20694344.0
AFG,1953,21577796.0
AFG,1954,22238252.0
AFG,1955,23214736.0
AFG,1956,24054062.0
AFG,1957,25035968.0
AFG,1958,26082448.0
AFG,1959,26784002.0
AFG,1960,26956622.0
AFG,1961,24789736.0
AFG,1962,24341884.0
AFG,1963,24611200.0
AFG,1964,23775552.0
AFG,1965,24357436.0
AFG,1966,25177424.0
AFG,1967,24615444.0
AFG,1968,24447574.0
AFG,1969,23281454.0
AFG,1970,24025050.0
AFG,1971,23628110.0
AFG,1972,20597082.0
AFG,1973,20880964.0
AFG,1974,21516384.0
AFG,1975,22221378.0
AFG,1976,21971654.0
AFG,1977,21858144.0
AFG,1978,21220670.0
AFG,1979,20854984.0
AFG,1980,20357510.0
AFG,1981,20397280.0
AFG,1982,20087436.0
AFG,1983,19709908.0
AFG,1984,18652040.0
AFG,1985,18173608.0
AFG,1986,15984170.0
AFG,1987,16028512.0
AFG,1988,15994435.0
AFG,1989,15239938.0
AFG,1990,14209854.0
AFG,1991,14436271.0
AFG,1992,13517736.0
AFG,1993,12913293.0
AFG,1994,13214674.0
AFG,1995,14154125.0
AFG,1996,16127630.0
AFG,1997,18601090.0
AFG,1998,18114220.0
AFG,1999,18913176.0
AFG,2000,16984364.0
AFG,2001,15779421.0
AFG,2002,21476610.0
AFG,2003,21124552.0
AFG,2004,20214652.0
AFG,2005,21000282.0
AFG,2006,21097164.0
AFG,2007,21884564.0
AFG,2008,24688080.0
AFG,2009,27408452.0
