ISOCode,Year,NetElectricityImports,NetElectricityImportsAsShareOfDemand
AFG,2000,0.1,17.54386
AFG,2001,0.1,14.492754
AFG,2002,0.1,12.658228
AFG,2003,0.1,9.615385
AFG,2004,0.1,10.10101
AFG,2005,0.1,9.708738
AFG,2006,0.43,33.85827
AFG,2007,0.61,39.102566
AFG,2008,0.75,50.675674
AFG,2009,1.15,55.023926
AFG,2010,1.57,62.5498
AFG,2011,2.25,74.25742
AFG,2012,3.07,77.72152
AFG,2013,3.62,76.53277
AFG,2014,3.71,76.1807
AFG,2015,3.78,76.20968
AFG,2016,4.33,78.158844
AFG,2017,4.61,78.40136
AFG,2018,4.99,81.00649
AFG,2019,4.91,82.107025
AFG,2020,5.15,86.55463
AFG,2021,5.37,86.61291
ALB,1990,0.21,5.982906
ALB,1991,-1.17,-44.15094
ALB,1992,-0.51,-17.647058
ALB,1993,-0.14,-4.129793
ALB,1994,-0.19,-5.0666666
ALB,1995,-0.07,-1.590909
ALB,1996,-0.23,-3.9930553
ALB,1997,-0.13,-2.5490196
ALB,1998,0.38,6.921676
ALB,1999,0.36,6.2283735
ALB,2000,1.0,17.574692
ALB,2001,1.75,32.407406
ALB,2002,2.11,36.69565
ALB,2003,0.92,14.983714
ALB,2004,0.48,7.973422
ALB,2005,0.37,6.4236107
ALB,2006,0.61,10.79646
ALB,2007,2.83,50.0
ALB,2008,2.43,38.81789
ALB,2009,1.4,21.212122
ALB,2010,-0.95,-14.525994
ALB,2011,3.26,43.994602
ALB,2012,2.54,35.180058
ALB,2013,2.32,25.19001
ALB,2014,3.07,39.612904
ALB,2015,1.4,19.337017
ALB,2016,-0.04,-0.5221932
ALB,2017,2.91,39.377537
ALB,2018,-0.91,-12.037037
ALB,2019,2.41,31.794197
ALB,2020,2.28,30.039526
ALB,2021,-0.55,-6.5398335
DZA,2000,-0.07,-0.2938707
DZA,2001,-0.05,-0.20016013
DZA,2002,-0.02,-0.077011935
DZA,2003,0.01,0.035945363
DZA,2004,0.01,0.034013607
DZA,2005,0.08,0.25007814
DZA,2006,0.08,0.24089131
DZA,2007,0.01,0.028579593
DZA,2008,-0.05,-0.13234515
DZA,2009,-0.03,-0.082941666
DZA,2010,-0.07,-0.16305614
DZA,2011,-0.14,-0.2914845
DZA,2012,-0.05,-0.09269559
DZA,2013,-0.09,-0.1600569
DZA,2014,-0.19,-0.31556222
DZA,2015,-0.03,-0.04640371
